epoch,acc,false_positives,loss,recall,true_positives,val_acc,val_false_positives,val_loss,val_recall,val_true_positives
0,0.8480544090270996,888.0,0.5892922282218933,0.8490013480186462,4931.0,0.5,1452.0,6.189038276672363,1.0,1452.0
1,0.9707300066947937,144.0,0.3412543535232544,0.9662534594535828,5612.0,0.5,1452.0,5.062716484069824,1.0,1452.0
2,0.9876033067703247,54.0,0.2759787440299988,0.9845041036605835,5718.0,0.5024104714393616,1445.0,2.9149036407470703,1.0,1452.0
3,0.9904442429542542,39.0,0.2595534026622772,0.9876033067703247,5736.0,0.9738292098045349,71.0,0.305488646030426,0.9965564608573914,1447.0
4,0.9927685856819153,32.0,0.2435346096754074,0.9910468459129333,5756.0,0.9827823638916016,46.0,0.27272066473960876,0.997245192527771,1448.0
5,0.9941459894180298,28.0,0.2357155829668045,0.9931129217147827,5768.0,0.9958677887916565,7.0,0.2280585765838623,0.9965564608573914,1447.0
6,0.9950929880142212,23.0,0.22844542562961578,0.9941459894180298,5774.0,0.9938016533851624,14.0,0.22865483164787292,0.997245192527771,1448.0
7,0.9947486519813538,17.0,0.2267698347568512,0.9924242496490479,5764.0,0.9938016533851624,14.0,0.22428575158119202,0.997245192527771,1448.0
8,0.995781660079956,20.0,0.21923857927322388,0.9950068593025208,5779.0,0.9951790571212769,10.0,0.21673689782619476,0.997245192527771,1448.0
9,0.9969007968902588,15.0,0.21312130987644196,0.99638432264328,5787.0,0.9965564608573914,2.0,0.21333251893520355,0.994490385055542,1444.0
10,0.9961260557174683,18.0,0.2115449458360672,0.995351254940033,5781.0,0.9962121248245239,3.0,0.2099565863609314,0.994490385055542,1444.0
11,0.9973312616348267,14.0,0.20502498745918274,0.9970729947090149,5791.0,0.9948347210884094,9.0,0.20881041884422302,0.9958677887916565,1446.0
12,0.9950068593025208,27.0,0.20702771842479706,0.9946625232696533,5777.0,0.9965564608573914,3.0,0.20369581878185272,0.9951790571212769,1445.0
13,0.9969869256019592,13.0,0.19922825694084167,0.9962121248245239,5786.0,0.9969007968902588,2.0,0.20009133219718933,0.9951790571212769,1445.0
14,0.9965564608573914,15.0,0.19611334800720215,0.9956955909729004,5783.0,0.9965564608573914,2.0,0.2006790190935135,0.994490385055542,1444.0
15,0.9980199933052063,5.0,0.192163348197937,0.9969007968902588,5790.0,0.9907024502754211,23.0,0.2147507518529892,0.997245192527771,1448.0
16,0.9969007968902588,17.0,0.1917838752269745,0.9967286586761475,5789.0,0.9962121248245239,4.0,0.19421760737895966,0.9951790571212769,1445.0
17,0.9980199933052063,8.0,0.18737730383872986,0.9974173307418823,5793.0,0.9955233931541443,3.0,0.20257875323295593,0.9931129217147827,1442.0
18,0.9984503984451294,6.0,0.1835925281047821,0.9979338645935059,5796.0,0.9913911819458008,21.0,0.2058730572462082,0.997245192527771,1448.0
19,0.997245192527771,16.0,0.18448448181152344,0.997245192527771,5792.0,0.9948347210884094,9.0,0.19037722051143646,0.9958677887916565,1446.0
20,0.9985365271568298,7.0,0.17878475785255432,0.9982782602310181,5798.0,0.9962121248245239,4.0,0.18614766001701355,0.9951790571212769,1445.0
21,0.9984503984451294,6.0,0.17725704610347748,0.9979338645935059,5796.0,0.9958677887916565,4.0,0.18849028646945953,0.994490385055542,1444.0
22,0.9983643293380737,8.0,0.1758740395307541,0.998106062412262,5797.0,0.9969007968902588,2.0,0.1864105761051178,0.9951790571212769,1445.0
23,0.9987086653709412,7.0,0.17324206233024597,0.9986225962638855,5800.0,0.9965564608573914,4.0,0.1816951036453247,0.9958677887916565,1446.0
24,0.9986225962638855,7.0,0.17213216423988342,0.9984503984451294,5799.0,0.9962121248245239,5.0,0.1807403564453125,0.9958677887916565,1446.0
25,0.9987947940826416,6.0,0.17117539048194885,0.9986225962638855,5800.0,0.9969007968902588,3.0,0.18007789552211761,0.9958677887916565,1446.0
26,0.9984503984451294,8.0,0.1712583601474762,0.9982782602310181,5798.0,0.9969007968902588,2.0,0.17999304831027985,0.9951790571212769,1445.0
27,0.9988808631896973,5.0,0.16928479075431824,0.9986225962638855,5800.0,0.9969007968902588,2.0,0.17899055778980255,0.9951790571212769,1445.0
28,0.9992251992225647,3.0,0.16779650747776031,0.9989669322967529,5802.0,0.9965564608573914,3.0,0.1794705092906952,0.9951790571212769,1445.0
29,0.9993112683296204,2.0,0.1672256886959076,0.9989669322967529,5802.0,0.9969007968902588,3.0,0.1788506805896759,0.9958677887916565,1446.0
30,0.9987947940826416,7.0,0.16770529747009277,0.9987947940826416,5801.0,0.9965564608573914,4.0,0.17971505224704742,0.9958677887916565,1446.0
31,0.9994834661483765,3.0,0.1662335842847824,0.9994834661483765,5805.0,0.9965564608573914,3.0,0.1792314350605011,0.9951790571212769,1445.0
32,0.9996556639671326,0.0,0.16549602150917053,0.9993112683296204,5804.0,0.9958677887916565,6.0,0.17869336903095245,0.9958677887916565,1446.0
33,0.9992251992225647,4.0,0.16632048785686493,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17867979407310486,0.9958677887916565,1446.0
34,0.9989669322967529,2.0,0.1666252464056015,0.9982782602310181,5798.0,0.9969007968902588,3.0,0.17864149808883667,0.9958677887916565,1446.0
35,0.9994834661483765,1.0,0.16522009670734406,0.999139130115509,5803.0,0.9969007968902588,3.0,0.1786775141954422,0.9958677887916565,1446.0
36,0.9993112683296204,2.0,0.16575194895267487,0.9989669322967529,5802.0,0.9969007968902588,3.0,0.17870107293128967,0.9958677887916565,1446.0
37,0.9993112683296204,5.0,0.1658933311700821,0.9994834661483765,5805.0,0.9969007968902588,3.0,0.17871974408626556,0.9958677887916565,1446.0
38,0.9993973970413208,2.0,0.16509626805782318,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17871765792369843,0.9958677887916565,1446.0
39,0.9993112683296204,0.0,0.16566838324069977,0.9986225962638855,5800.0,0.9969007968902588,3.0,0.1786937713623047,0.9958677887916565,1446.0
40,0.9993112683296204,3.0,0.16596725583076477,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17868663370609283,0.9958677887916565,1446.0
41,0.9997417330741882,1.0,0.16510599851608276,0.9996556639671326,5806.0,0.9969007968902588,3.0,0.17870864272117615,0.9958677887916565,1446.0
42,0.9992251992225647,3.0,0.1657792031764984,0.9989669322967529,5802.0,0.9969007968902588,3.0,0.1787186712026596,0.9958677887916565,1446.0
43,0.999139130115509,5.0,0.16624672710895538,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17867843806743622,0.9958677887916565,1446.0
44,0.9989669322967529,4.0,0.16617387533187866,0.9986225962638855,5800.0,0.9969007968902588,3.0,0.17868834733963013,0.9958677887916565,1446.0
45,0.9993973970413208,2.0,0.1655886471271515,0.999139130115509,5803.0,0.9969007968902588,3.0,0.1786981225013733,0.9958677887916565,1446.0
46,0.9994834661483765,1.0,0.1652737408876419,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17869426310062408,0.9958677887916565,1446.0
47,0.9992251992225647,5.0,0.1661548614501953,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.1786871701478958,0.9958677887916565,1446.0
48,0.9993112683296204,3.0,0.16519030928611755,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17869357764720917,0.9958677887916565,1446.0
49,0.9990530014038086,3.0,0.165941521525383,0.9986225962638855,5800.0,0.9969007968902588,3.0,0.17869900166988373,0.9958677887916565,1446.0
50,0.999139130115509,3.0,0.16602741181850433,0.9987947940826416,5801.0,0.9969007968902588,3.0,0.17868340015411377,0.9958677887916565,1446.0
51,0.9993973970413208,3.0,0.1657528281211853,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.1786784827709198,0.9958677887916565,1446.0
52,0.9994834661483765,2.0,0.16508275270462036,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.17870162427425385,0.9958677887916565,1446.0
53,0.9993112683296204,3.0,0.16676609218120575,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17868435382843018,0.9958677887916565,1446.0
54,0.9990530014038086,3.0,0.16581425070762634,0.9986225962638855,5800.0,0.9969007968902588,3.0,0.1786816418170929,0.9958677887916565,1446.0
55,0.9993112683296204,2.0,0.1655641496181488,0.9989669322967529,5802.0,0.9969007968902588,3.0,0.17868605256080627,0.9958677887916565,1446.0
56,0.9993112683296204,4.0,0.16487900912761688,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.17870214581489563,0.9958677887916565,1446.0
57,0.9992251992225647,4.0,0.16522875428199768,0.999139130115509,5803.0,0.9969007968902588,3.0,0.1786758154630661,0.9958677887916565,1446.0
58,0.9994834661483765,4.0,0.16536080837249756,0.9996556639671326,5806.0,0.9969007968902588,3.0,0.17868906259536743,0.9958677887916565,1446.0
59,0.9994834661483765,3.0,0.16547395288944244,0.9994834661483765,5805.0,0.9969007968902588,3.0,0.17868471145629883,0.9958677887916565,1446.0
60,0.9989669322967529,4.0,0.16584397852420807,0.9986225962638855,5800.0,0.9969007968902588,3.0,0.17868898808956146,0.9958677887916565,1446.0
61,0.999139130115509,5.0,0.16600552201271057,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17867779731750488,0.9958677887916565,1446.0
62,0.9996556639671326,1.0,0.16508449614048004,0.9994834661483765,5805.0,0.9969007968902588,3.0,0.17868384718894958,0.9958677887916565,1446.0
63,0.999139130115509,1.0,0.16567450761795044,0.9984503984451294,5799.0,0.9969007968902588,3.0,0.17868803441524506,0.9958677887916565,1446.0
64,0.9994834661483765,2.0,0.16538451611995697,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.178667813539505,0.9958677887916565,1446.0
65,0.9994834661483765,1.0,0.16555257141590118,0.999139130115509,5803.0,0.9969007968902588,3.0,0.1787111759185791,0.9958677887916565,1446.0
66,0.9992251992225647,3.0,0.16588398814201355,0.9989669322967529,5802.0,0.9969007968902588,3.0,0.1786903440952301,0.9958677887916565,1446.0
67,0.999139130115509,3.0,0.1662745475769043,0.9987947940826416,5801.0,0.9969007968902588,3.0,0.17870724201202393,0.9958677887916565,1446.0
68,0.9994834661483765,2.0,0.16547951102256775,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.17872276902198792,0.9958677887916565,1446.0
69,0.9993112683296204,5.0,0.16544421017169952,0.9994834661483765,5805.0,0.9969007968902588,3.0,0.17871609330177307,0.9958677887916565,1446.0
70,0.9993973970413208,4.0,0.16536618769168854,0.9994834661483765,5805.0,0.9969007968902588,3.0,0.17868672311306,0.9958677887916565,1446.0
71,0.9995695352554321,2.0,0.16565823554992676,0.9994834661483765,5805.0,0.9969007968902588,3.0,0.1786971092224121,0.9958677887916565,1446.0
72,0.9994834661483765,1.0,0.1655498594045639,0.999139130115509,5803.0,0.9969007968902588,3.0,0.1786995530128479,0.9958677887916565,1446.0
73,0.9992251992225647,3.0,0.1664072424173355,0.9989669322967529,5802.0,0.9969007968902588,3.0,0.17867572605609894,0.9958677887916565,1446.0
74,0.9992251992225647,4.0,0.16558967530727386,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17868702113628387,0.9958677887916565,1446.0
75,0.9997417330741882,1.0,0.16510996222496033,0.9996556639671326,5806.0,0.9969007968902588,3.0,0.1786995232105255,0.9958677887916565,1446.0
76,0.9992251992225647,5.0,0.16532868146896362,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.1786963790655136,0.9958677887916565,1446.0
77,0.9995695352554321,2.0,0.16532015800476074,0.9994834661483765,5805.0,0.9969007968902588,3.0,0.17867575585842133,0.9958677887916565,1446.0
78,0.9997417330741882,1.0,0.16485512256622314,0.9996556639671326,5806.0,0.9969007968902588,3.0,0.1786954253911972,0.9958677887916565,1446.0
79,0.9990530014038086,4.0,0.16588108241558075,0.9987947940826416,5801.0,0.9969007968902588,3.0,0.1786816418170929,0.9958677887916565,1446.0
80,0.9993973970413208,3.0,0.16581284999847412,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.1786959320306778,0.9958677887916565,1446.0
81,0.9994834661483765,2.0,0.16583165526390076,0.9993112683296204,5804.0,0.9969007968902588,3.0,0.1786939799785614,0.9958677887916565,1446.0
82,0.9993112683296204,3.0,0.16597211360931396,0.999139130115509,5803.0,0.9969007968902588,3.0,0.17868967354297638,0.9958677887916565,1446.0
