Mass Range,Relative Error Chirp Mass (%),Relative Error Mass Ratio (%)
CNN_low_mass,2.0458809465510606,-14.600481986999517
CNN_low_mass,-2.490963924848818,-8.191404342651373
CNN_low_mass,49.51377591320696,-12.326118946075443
CNN_low_mass,-11.717696066209712,-2.3707818984985396
CNN_low_mass,7.790750892931795,-12.49222278594971
CNN_low_mass,-12.313601590238985,-7.417469024658208
CNN_low_mass,-35.22044854034513,2.044727802276607
CNN_low_mass,-9.787356109157127,-4.159901142120366
CNN_low_mass,73.82125456427727,-17.65818595886231
CNN_low_mass,5.512279764003462,-8.521795272827152
CNN_low_mass,-10.064095519281741,-6.442189216613774
CNN_low_mass,3.787127316786852,-11.269042491912845
CNN_low_mass,4.301031900955331,-10.794899463653568
CNN_low_mass,17.272683811122977,-18.897259235382084
CNN_low_mass,13.55586835564823,-11.033337116241459
CNN_low_mass,4.364777047540636,-10.08741140365601
CNN_low_mass,23.212689885249997,-17.89644414728338
CNN_low_mass,12.1532699966609,-20.72192538868297
CNN_low_mass,-10.377119540207564,-13.80105235359885
CNN_low_mass,-8.888096002893764,-13.374499841169873
CNN_low_mass,20.242434351468365,-21.94901813160289
CNN_low_mass,-11.944048949211354,-12.568224560130723
CNN_low_mass,4.649091095331695,-27.882714705033735
CNN_low_mass,-20.875262384795853,-11.011593992059877
CNN_low_mass,-12.366871170688567,-14.613862471147012
CNN_low_mass,-11.070347329795679,-14.4376819783991
CNN_low_mass,-4.239779082778996,-19.92421366951682
CNN_low_mass,-17.7583217962384,-12.78121471405029
CNN_low_mass,15.891655109264722,-17.940061742609196
CNN_low_mass,-9.50917812969148,-14.890842004255811
CNN_low_mass,-8.454029929938708,-14.469393816861237
CNN_low_mass,18.526445232033126,-18.10649525035511
CNN_low_mass,-19.02492696423016,-23.61183762550354
CNN_low_mass,-18.30625286638392,-24.66185688972473
CNN_low_mass,-19.35254061888958,-23.514574766159058
CNN_low_mass,-11.734544059127215,-23.875153064727783
CNN_low_mass,-25.74563074063158,-26.164323091506958
CNN_low_mass,-23.737444028878866,-22.162610292434692
CNN_low_mass,-15.17011006109444,-20.41659951210022
CNN_low_mass,-8.734223026457984,-24.331867694854736
CNN_low_mass,-26.078384041613432,-20.735222101211548
CNN_low_mass,3.3878473573133423,-23.579221963882446
CNN_low_mass,-11.27522582632609,-22.020477056503296
CNN_low_mass,-15.93290478181161,-22.40302562713623
CNN_low_mass,-14.372579364787807,-23.69905710220337
CNN_low_mass,-1.6466872639563208,-26.86382532119751
CNN_low_mass,-7.725209121082882,-26.748251914978027
CNN_low_mass,-16.430391507106705,-26.218926906585693
CNN_low_mass,-12.587102404265815,-13.937151432037359
CNN_low_mass,-7.995426426728206,-10.5483889579773
CNN_low_mass,-6.5959931065153,-13.07333111763001
CNN_low_mass,-10.3048233265685,-8.542774617671972
CNN_low_mass,0.7091900960140504,-8.57893973588944
CNN_low_mass,-4.746299293530474,-9.568831324577337
CNN_low_mass,-4.103279074955991,-13.025096058845525
CNN_low_mass,-9.918036687012762,-14.67446088790894
CNN_low_mass,-0.9623861435523126,-11.147423088550573
CNN_low_mass,-9.846943355280677,-14.1094982624054
CNN_low_mass,-6.372052381721684,-10.228542983531957
CNN_low_mass,-5.376794789909287,-9.182526171207433
CNN_low_mass,-6.275762448287864,-11.819405853748327
CNN_low_mass,-2.8210402016588443,-12.748679518699651
CNN_low_mass,-2.0044806371003485,-16.432097554206855
CNN_low_mass,7.632769866475949,-23.487491905689247
CNN_low_mass,3.6790044408277947,-11.76677544911703
CNN_low_mass,-3.838573392158564,-4.726133247216549
CNN_low_mass,35.332664214948146,-7.483189304669705
CNN_low_mass,-9.866181675519197,-6.387319664160416
CNN_low_mass,-6.365888736002896,-8.2780475417773
CNN_low_mass,1.1479579416954124,0.17650723457335776
CNN_low_mass,-9.798005390647642,-6.186513106028245
CNN_low_mass,-1.741810289244205,-7.217980424563096
CNN_low_mass,-7.599701012172501,-3.5057231783866944
CNN_low_mass,-18.545379699679145,-5.211206773916886
CNN_low_mass,-9.159262377748135,-2.8987353046735187
CNN_low_mass,-4.313045562035919,-4.650635520617173
CNN_low_mass,-7.275844426273401,-8.22537392377854
CNN_low_mass,-6.679582731931863,-10.798274974028276
CNN_low_mass,5.668417974897912,-2.547929684321092
CNN_low_mass,0.08778670883836187,-9.286927183469142
CNN_low_mass,-4.407598946187007,18.37906837463379
CNN_low_mass,-3.198878362226354,15.420210361480713
CNN_low_mass,-13.398604191517782,29.33349609375
CNN_low_mass,-3.3410992262676347,15.441882610321045
CNN_low_mass,-9.896844872653652,-5.388331413269043
CNN_low_mass,-8.98221331245798,14.004027843475342
CNN_low_mass,-1.4993540598037762,8.53734016418457
CNN_low_mass,0.29098676202864704,15.184903144836426
CNN_low_mass,-6.4856604009310885,5.116403102874756
CNN_low_mass,-6.14910890646103,10.216033458709717
CNN_low_mass,0.03148299935940403,7.9849958419799805
CNN_low_mass,-8.386772033513768,-2.924525737762451
CNN_low_mass,38.83790950316677,51.53836011886597
CNN_low_mass,-1.2626197438162594,10.685491561889648
CNN_low_mass,1.8058995782170573,17.658281326293945
CNN_low_mass,-2.0523263363599833,6.292009353637695
CNN_low_mass,0.307590853414525,21.43327544132869
CNN_low_mass,-10.845193734960324,3.1600063045819637
CNN_low_mass,-1.0906071645893352,18.044540286064155
CNN_low_mass,-3.420189516825832,15.571754674116775
CNN_low_mass,-6.311504313838146,14.042572677135473
CNN_low_mass,-3.0622078092466283,15.90527991453807
CNN_low_mass,0.5238128558136864,15.565222998460138
CNN_low_mass,2.4317177631389524,20.34361561139425
CNN_low_mass,-2.0119811615936163,9.934421877066299
CNN_low_mass,9.612462062501647,25.756822526454933
CNN_low_mass,-7.431925086755037,16.748002668221794
CNN_low_mass,-5.256131506905768,13.744797805945083
CNN_low_mass,-4.516885405991524,24.55924103657405
CNN_low_mass,0.8257443653140181,19.378405312697097
CNN_low_mass,-18.368936279392685,15.328592558701837
CNN_low_mass,-4.476927369743895,11.028378208478296
CNN_low_mass,-4.1265783449676565,34.58025455474856
CNN_low_mass,-5.443572868370201,34.01466359694801
CNN_low_mass,-3.438126948636725,35.33216714859011
CNN_low_mass,-6.878684404922322,28.851516048113524
CNN_low_mass,-6.171705788370948,32.01248745123547
CNN_low_mass,-3.2126765304891345,37.06738551457725
CNN_low_mass,-4.49973786411692,32.397489746411665
CNN_low_mass,3.9272808831850985,54.03197407722475
CNN_low_mass,-0.7318781524253576,44.11172618468605
CNN_low_mass,0.8403922625029059,41.72388513882957
CNN_low_mass,-7.746543444085571,33.795989553133666
CNN_low_mass,-0.955431565143401,42.761985460917174
CNN_low_mass,-2.4478003507488784,36.24471823374432
CNN_low_mass,-5.18701634857343,31.790298720200877
CNN_low_mass,0.17225737542533465,45.16933013995491
CNN_low_mass,-3.4085169080518583,40.08089850346249
CNN_low_mass,2.778696436933143,71.12396558125815
CNN_low_mass,-10.670195629813131,52.054500579833984
CNN_low_mass,0.1930861973160086,61.301279067993164
CNN_low_mass,4.413570130672339,77.47653325398764
CNN_low_mass,-3.0937563230280385,59.18661753336588
CNN_low_mass,-4.273452079799784,54.564460118611656
CNN_low_mass,0.677059249314532,62.13986078898112
CNN_low_mass,0.20100442485485337,66.44978523254395
CNN_low_mass,-18.279223248781214,75.66967010498047
CNN_low_mass,-1.7766301155983524,61.536900202433266
CNN_low_mass,1.865262523680398,72.62328465779623
CNN_low_mass,-4.459988127976443,55.457750956217446
CNN_low_mass,0.04844123442794984,65.37249883015951
CNN_low_mass,3.3770375297564548,75.25029182434082
CNN_low_mass,0.3499403347473439,62.09840774536133
CNN_low_mass,7.611298263628346,78.56554985046387
CNN_low_mass,-24.047693935497083,5.798328518867487
CNN_low_mass,-11.45361782640463,0.3287905454635564
CNN_low_mass,-6.490785399402554,0.48625767230986994
CNN_low_mass,8.89378915930877,-9.379241466522222
CNN_low_mass,-31.24509256690914,5.840860605239862
CNN_low_mass,1.531791773394404,-3.5074734687805234
CNN_low_mass,11.581863334257218,-2.1143132448196464
CNN_low_mass,-2.729970458574499,0.2399295568466131
CNN_low_mass,-18.563000108271392,3.920694589614862
CNN_low_mass,18.12779661104687,-11.576784253120428
CNN_low_mass,-5.516638344265648,2.196653485298151
CNN_low_mass,5.9696444516487865,1.2384611368179266
CNN_low_mass,-2.4497233217718866,3.303681015968317
CNN_low_mass,-18.18227285235966,2.1965992450714054
CNN_low_mass,-13.25243332270491,0.3564530611038152
CNN_low_mass,-5.709205990159826,-1.1428552865982111
CNN_low_mass,-8.159072201870622,-9.810928864912553
CNN_low_mass,-20.76268588223515,-7.53807317126881
CNN_low_mass,-5.413122118269296,-13.116124001416294
CNN_low_mass,-2.5005841395788564,-12.639415805990046
CNN_low_mass,-30.973638291509047,-6.7328312180259005
CNN_low_mass,54.61215789579346,-26.387791741978038
CNN_low_mass,-0.7973943405139963,-11.375625567002729
CNN_low_mass,-9.230828607481643,-11.682012406262483
CNN_low_mass,-14.659428674772872,-8.477239175276322
CNN_low_mass,-4.1969718134975516,-9.020592407746747
CNN_low_mass,-23.880066834498464,-5.200861800800669
CNN_low_mass,-6.053145257359195,-10.096260634335604
CNN_low_mass,-14.555434998683783,-6.08928853815252
CNN_low_mass,1.602087390291929,-15.667168660597367
CNN_low_mass,-21.364316433572835,-8.769023418426512
CNN_low_mass,82.45716138227377,-16.321341016075827
CNN_low_mass,-11.26652228893663,-16.908957560857154
CNN_low_mass,30.745894325950534,-24.022014439106
CNN_low_mass,0.729681649500953,-21.42934451500576
CNN_low_mass,-7.808614376399962,-17.124168574810042
CNN_low_mass,-4.473544939450267,-17.754117151101447
CNN_low_mass,-12.759970772460147,-18.21076820294064
CNN_low_mass,24.00569988781223,-18.52992027997972
CNN_low_mass,-6.1157101748573774,-35.83318541447323
CNN_low_mass,-2.738726702604208,-22.252879043420172
CNN_low_mass,2.3789875347065204,-25.845260918140422
CNN_low_mass,-8.594077081933204,-26.7188126842181
CNN_low_mass,-2.4837862057457767,-21.56676600376766
CNN_low_mass,-5.602364123805883,-19.738915562629714
CNN_low_mass,33.90500025638026,-28.980061908562995
CNN_low_mass,-3.7325840968501627,-23.65118563175203
CNN_low_mass,1.4555716857696699,-23.622819284598044
CNN_low_mass,15.34091259638177,-28.355205517548782
CNN_low_mass,-13.590298259388762,-20.143237480750454
CNN_low_mass,-0.3265654637002929,-26.031147058193504
CNN_low_mass,-6.391652163561091,-15.49984537638151
CNN_low_mass,-6.841380641702301,-24.661164100353535
CNN_low_mass,-6.097042256984414,-20.791114752109237
CNN_low_mass,-11.47740326003061,-31.391142881833595
CNN_low_mass,-9.766538739552539,-18.436878002606907
CNN_low_mass,-5.545803457229877,-12.855421121303856
CNN_low_mass,-6.554525486363078,-21.172744952715362
CNN_low_mass,-18.614184022605656,-23.38862098180331
CNN_low_mass,-7.6817743357763995,-21.548474293488727
CNN_low_mass,-11.177393283766316,-27.62023898271414
CNN_low_mass,-11.369331225831749,-18.963890809279224
CNN_low_mass,4.704290156904108,-36.838516822228065
CNN_low_mass,2.6892007801875417,-22.158436133311348
CNN_low_mass,7.7400819646873416,-22.66487387510446
CNN_low_mass,-15.992468833044846,-15.18092017907362
CNN_low_mass,-8.768999906683774,-10.950971566713767
CNN_low_mass,12.125037384505722,-22.333243260016804
CNN_low_mass,-11.767915024311261,-11.008954506654
CNN_low_mass,-13.578102719951943,-9.733968973159785
CNN_low_mass,-0.8047439558599779,-19.714353634760926
CNN_low_mass,18.236628151186355,-11.553186636704659
CNN_low_mass,-11.598662090891658,-14.894746817075283
CNN_low_mass,3.381326163689833,-16.527661451926594
CNN_low_mass,-5.803718337477785,-19.498759049635662
CNN_low_mass,-9.2771352018876,-17.268921778752247
CNN_low_mass,-3.6911313784503905,-23.858306041130646
CNN_low_mass,-5.415611107196075,-11.146970895620486
CNN_low_mass,-8.458428488314048,-11.402301604931166
CNN_low_mass,-9.589020661437969,-18.937082932545582
CNN_low_mass,-5.729491878516286,3.6712793203500675
CNN_low_mass,-3.822650168849266,0.3692076756404065
CNN_low_mass,-5.497541816631511,-6.5493620358980555
CNN_low_mass,-2.143345491958162,5.343624261709367
CNN_low_mass,-7.13311681784249,-6.616012866680432
CNN_low_mass,-4.469838101606755,-3.8385317875788694
